timestep, var(t)
0,0.33063
1000,1.15719
2000,0.495943
3000,0.495943
4000,0.165318
5000,0.33063
6000,0.330631
7000,5.61695e-06
8000,0.495941
9000,0.826567
10000,0.495943
11000,0.33063
12000,0.495942
13000,0.495941
14000,0.495941
15000,0.495942
16000,1.15719
17000,0.991878
18000,0.330629
19000,0.33063
20000,0.165317
21000,1.3225
22000,0.33063
23000,0.661254
24000,0.495941
25000,0.330629
26000,0.165317
27000,0.991879
28000,0.33063
29000,0.165317
30000,5.03198e-06
31000,0.495942
32000,0.330629
33000,0.33063
34000,0.330629
35000,0.330629
36000,0.33063
37000,0.991879
38000,1.48781
39000,0.495941
40000,1.15719
41000,0.330629
42000,0.495942
43000,0.33063
44000,0.495941
45000,0.826566
46000,0.826564
47000,0.495942
48000,0.495941
49000,0.661254
50000,4.54989e-06
51000,0.661254
52000,0.495941
53000,4.56599e-06
54000,0.495941
55000,0.495941
56000,0.661254
57000,0.495941
58000,0.991878
59000,0.165317
60000,0.165317
61000,0.661252
62000,0.165316
63000,0.165317
64000,0.661253
65000,0.165317
66000,0.165316
67000,0.495941
68000,0.495941
69000,0.330629
70000,0.991878
71000,0.495941
72000,0.495941
73000,0.165316
74000,0.49594
75000,0.661253
76000,0.991877
77000,0.495941
78000,0.330628
79000,0.330629
80000,0.661253
81000,0.330629
82000,0.330628
83000,0.826564
84000,0.330629
85000,0.826565
86000,0.330629
87000,0.330628
88000,0.991878
89000,0.661253
90000,0.330628
91000,0.826566
92000,0.330628
93000,0.661253
94000,0.330628
95000,0.165316
96000,0.165316
97000,0.165316
98000,0.826565
99000,3.36624e-06
100000,0.661253
101000,0.826565
102000,0.826565
103000,0.330628
104000,0.165316
105000,0.330627
106000,0.826565
107000,0.165316
108000,0.991877
109000,0.661253
110000,0.826564
111000,3.08813e-06
112000,0.165316
113000,0.661252
114000,0.826565
115000,3.08393e-06
116000,0.49594
117000,0.826564
118000,0.826564
119000,0.330627
120000,2.99102e-06
121000,0.330628
122000,0.661252
123000,0.661253
124000,2.9125e-06
125000,0.165315
126000,0.661252
127000,0.826564
128000,0.661253
129000,0.165315
130000,0.49594
131000,0.49594
132000,0.330627
133000,0.330628
134000,0.330627
135000,0.330627
136000,0.49594
137000,0.330627
138000,0.661252
139000,0.330628
140000,0.330627
141000,0.661252
142000,0.165315
143000,0.330627
144000,0.330627
145000,0.826564
146000,0.661252
147000,0.330627
148000,0.330627
149000,0.495939
150000,0.49594
151000,0.49594
152000,0.330627
153000,0.826564
154000,0.165315
155000,0.991876
156000,0.826565
157000,2.37254e-06
158000,0.165315
159000,0.330627
160000,0.826564
161000,0.661252
162000,0.991876
163000,0.495939
164000,0.330627
165000,0.826564
166000,0.661252
167000,0.991876
168000,0.330627
169000,0.495939
170000,0.495939
171000,0.330627
172000,0.495939
173000,0.330627
174000,0.165314
175000,0.991876
176000,0.165314
177000,0.991877
178000,1.95337e-06
179000,0.826564
180000,0.165314
181000,0.826564
182000,1.90986e-06
183000,0.826563
184000,0.991876
185000,0.330626
186000,0.661251
187000,0.495939
188000,0.330627
189000,0.495939
190000,0.165314
191000,0.165314
192000,0.495939
193000,0.661251
194000,0.495938
195000,0.495939
196000,0.991876
197000,0.991876
198000,0.330627
199000,0.330626
200000,0.495939
201000,0.495939
202000,0.330626
203000,0.661251
204000,0.661251
205000,1.15719
206000,0.661251
207000,0.165314
208000,0.495939
209000,0.495939
210000,0.495939
211000,0.330627
212000,1.70569e-06
213000,0.661251
214000,0.661251
215000,1.77602e-06
216000,0.330627
217000,0.991876
218000,1.65652e-06
219000,0.495939
220000,0.661251
221000,1.15719
222000,1.15719
223000,0.495939
224000,0.330626
225000,0.661251
226000,0.330626
227000,0.495939
228000,0.330626
229000,0.330626
230000,0.330626
231000,0.330626
232000,0.661251
233000,1.47799e-06
234000,0.661251
235000,0.330626
236000,0.495938
237000,0.165314
238000,0.661251
239000,0.991876
240000,0.826563
241000,0.826564
242000,0.661251
243000,0.495939
244000,0.495939
245000,0.330626
246000,0.330626
247000,0.495938
248000,0.495939
249000,0.661251
